,ID Number,Rate Per Day,TI min,TO min,Work Hours,Basic Salary,Overtime Hours,Overtime Pay,Late Minutes,Late Deductions,Deductibles,Bonus,Standing Salary
0,10000000,537,460,960,8,537.0,0,0.0,-20,0.0,0,0,537.0
1,10000001,600,480,982,8,600.0,0,0.0,0,0.0,220,0,380.0
2,10000002,840,490,1040,9,840.0,1,136.5,10,105.0,80,0,791.5
3,10000003,550,480,1080,10,550.0,2,178.75,0,0.0,0,0,728.75
4,10000004,1045,482,1010,9,1045.0,1,169.81,2,130.62,0,0,1084.19
5,10000005,729,473,960,8,729.0,0,0.0,-7,0.0,100,0,629.0
6,10000006,1255,475,1040,9,1255.0,1,203.94,-5,0.0,130,0,1328.94
7,10000007,920,489,982,8,920.0,0,0.0,9,115.0,120,0,685.0
8,10000008,620,565,1024,8,620.0,0,0.0,85,155.0,20,0,445.0
9,10000009,845,500,1102,10,845.0,2,274.62,20,105.62,100,0,914.0
